filter,till,till_date,fert_comp,spr_fert,fert_date,sum_fert,fert_app,cover,TN_mean,TN_min,TN_max,TDP_mean,TDP_min,TDP_max,CY_mean,CY_min,CY_max
0,No Till,NA,28-10-10,1000,1-May,500,Injection,Winter Rye,92.44910986,15.48131017,263.9525131,6.228171627,2.932695444,8.923697909,3.449802826,1.281603306,4.31220824
1,No Till,NA,28-10-10,1000,1-May,500,Injection,Winter Rye,54.82449677,8.078369891,192.5659819,3.839890734,1.200443398,6.668553676,3.449802826,1.281603306,4.31220824
3,No Till,NA,28-10-10,1000,1-May,500,Injection,Winter Rye,50.8679782,7.100152544,186.508369,3.472834507,0.780135857,6.502485789,3.449802826,1.281603306,4.31220824
5,No Till,NA,28-10-10,1000,1-May,500,Injection,Winter Rye,49.45494915,6.740647609,183.8766546,3.407177875,0.739039533,6.434202161,3.449802826,1.281603306,4.31220824
0,No Till,NA,28-10-10,1000,1-Feb,1000,Injection,Winter Rye,139.6465476,16.0095806,388.7618179,9.478510715,3.985058738,14.11972195,3.449802826,1.281603306,4.31220824
1,No Till,NA,28-10-10,1000,1-Feb,1000,Injection,Winter Rye,83.41994169,9.502654555,290.7286877,5.701940344,1.629350766,10.08047275,3.449802826,1.281603306,4.31220824
3,No Till,NA,28-10-10,1000,1-Feb,1000,Injection,Winter Rye,77.61626569,8.861279195,282.3416244,5.150049128,1.086423827,10.08047275,3.449802826,1.281603306,4.31220824
5,No Till,NA,28-10-10,1000,1-Feb,1000,Injection,Winter Rye,75.51421875,8.597677222,278.5784622,5.045713043,1.03008116,10.08047275,3.449802826,1.281603306,4.31220824
0,No Till,NA,28-10-10,500,1-May,1000,Injection,Winter Rye,95.54673282,17.39842154,266.8868432,7.742273854,2.945993046,12.67833601,3.449802826,1.281603306,4.31220824
1,No Till,NA,28-10-10,500,1-May,1000,Injection,Winter Rye,56.20656182,7.983699037,195.435862,4.604267312,1.206574264,9.223016524,3.449802826,1.281603306,4.31220824
3,No Till,NA,28-10-10,500,1-May,1000,Injection,Winter Rye,52.3969625,6.978654052,191.1818062,4.181504712,0.783150719,9.223016524,3.449802826,1.281603306,4.31220824
5,No Till,NA,28-10-10,500,1-May,1000,Injection,Winter Rye,50.92844224,6.607783734,191.1818062,4.093708577,0.741751906,9.223016524,3.449802826,1.281603306,4.31220824
0,No Till,NA,28-10-10,1000,1-May,1000,Injection,Winter Rye,126.2674685,19.09909898,368.4523243,9.271959836,3.847070902,14.05966174,3.449802826,1.281603306,4.31220824
1,No Till,NA,28-10-10,1000,1-May,1000,Injection,Winter Rye,74.44932938,9.0071662,268.5784309,5.589521721,1.574966396,10.07866323,3.449802826,1.281603306,4.31220824
3,No Till,NA,28-10-10,1000,1-May,1000,Injection,Winter Rye,69.21482838,7.943416469,260.1055737,5.063096542,1.022946599,10.07866323,3.449802826,1.281603306,4.31220824
5,No Till,NA,28-10-10,1000,1-May,1000,Injection,Winter Rye,67.27795844,7.545569896,256.3336482,4.960929264,0.968620392,10.07866323,3.449802826,1.281603306,4.31220824
0,No Till,NA,28-10-10,1000,1-May,500,Broadcast,Winter Rye,117.6719531,20.15489293,290.9225115,10.01870556,5.283927755,16.73543967,3.449802826,1.281603306,4.31220824
1,No Till,NA,28-10-10,1000,1-May,500,Broadcast,Winter Rye,66.70026518,11.00282015,212.2573628,5.705106703,1.801414222,12.44109788,3.449802826,1.281603306,4.31220824
3,No Till,NA,28-10-10,1000,1-May,500,Broadcast,Winter Rye,62.10712657,9.435162409,212.2573628,5.361612975,1.524536236,12.44109788,3.449802826,1.281603306,4.31220824
5,No Till,NA,28-10-10,1000,1-May,500,Broadcast,Winter Rye,60.12534164,8.833773469,212.2573628,5.226146409,1.429289892,12.44109788,3.449802826,1.281603306,4.31220824
0,No Till,NA,28-10-10,1000,1-Feb,1000,Broadcast,Winter Rye,164.0592528,15.97106121,412.0679574,13.58006162,6.555511317,22.02278277,3.449802826,1.281603306,4.31220824
1,No Till,NA,28-10-10,1000,1-Feb,1000,Broadcast,Winter Rye,96.53608725,9.416830657,321.4527081,7.694828582,2.554089599,16.28604644,3.449802826,1.281603306,4.31220824
3,No Till,NA,28-10-10,1000,1-Feb,1000,Broadcast,Winter Rye,90.50416133,8.775186453,321.4527081,7.226566087,2.16186757,16.28604644,3.449802826,1.281603306,4.31220824
