Filter Strip %,Till/No Till,Tilling Date,Fertilizer Composition,Spring Fertilizer Amount (kg/ha),Spring Fertilizer Date,Summer Fertilizer Amount (kg/ha),Fertilizer Application Method,Cover Crop,scenario
0,Till,1-Apr,26:13:00,0,1-Feb,0,Injection,Winter Rye,1
1,Till,1-Apr,26:13:00,0,1-Feb,0,Injection,Winter Rye,2
3,Till,1-Apr,26:13:00,0,1-Feb,0,Injection,Winter Rye,3
5,Till,1-Apr,26:13:00,0,1-Feb,0,Injection,Winter Rye,4
0,Till,15-Apr,26:13:00,0,1-Feb,0,Injection,Winter Rye,5
1,Till,15-Apr,26:13:00,0,1-Feb,0,Injection,Winter Rye,6
3,Till,15-Apr,26:13:00,0,1-Feb,0,Injection,Winter Rye,7
5,Till,15-Apr,26:13:00,0,1-Feb,0,Injection,Winter Rye,8
0,Till,1-Apr,28:10:10,0,1-Feb,0,Injection,Winter Rye,9
1,Till,1-Apr,28:10:10,0,1-Feb,0,Injection,Winter Rye,10
3,Till,1-Apr,28:10:10,0,1-Feb,0,Injection,Winter Rye,11
5,Till,1-Apr,28:10:10,0,1-Feb,0,Injection,Winter Rye,12
0,Till,15-Apr,28:10:10,0,1-Feb,0,Injection,Winter Rye,13
1,Till,15-Apr,28:10:10,0,1-Feb,0,Injection,Winter Rye,14
3,Till,15-Apr,28:10:10,0,1-Feb,0,Injection,Winter Rye,15
5,Till,15-Apr,28:10:10,0,1-Feb,0,Injection,Winter Rye,16
0,Till,1-Apr,Dairy Manure,0,1-Feb,0,Injection,Winter Rye,17
1,Till,1-Apr,Dairy Manure,0,1-Feb,0,Injection,Winter Rye,18
3,Till,1-Apr,Dairy Manure,0,1-Feb,0,Injection,Winter Rye,19
5,Till,1-Apr,Dairy Manure,0,1-Feb,0,Injection,Winter Rye,20
0,Till,15-Apr,Dairy Manure,0,1-Feb,0,Injection,Winter Rye,21
1,Till,15-Apr,Dairy Manure,0,1-Feb,0,Injection,Winter Rye,22
3,Till,15-Apr,Dairy Manure,0,1-Feb,0,Injection,Winter Rye,23
5,Till,15-Apr,Dairy Manure,0,1-Feb,0,Injection,Winter Rye,24
0,Till,1-Apr,26:13:00,140,1-Feb,0,Injection,Winter Rye,25
1,Till,1-Apr,26:13:00,140,1-Feb,0,Injection,Winter Rye,26
3,Till,1-Apr,26:13:00,140,1-Feb,0,Injection,Winter Rye,27
5,Till,1-Apr,26:13:00,140,1-Feb,0,Injection,Winter Rye,28
0,Till,15-Apr,26:13:00,140,1-Feb,0,Injection,Winter Rye,29
1,Till,15-Apr,26:13:00,140,1-Feb,0,Injection,Winter Rye,30
3,Till,15-Apr,26:13:00,140,1-Feb,0,Injection,Winter Rye,31
5,Till,15-Apr,26:13:00,140,1-Feb,0,Injection,Winter Rye,32
0,Till,1-Apr,28:10:10,140,1-Feb,0,Injection,Winter Rye,33
1,Till,1-Apr,28:10:10,140,1-Feb,0,Injection,Winter Rye,34
3,Till,1-Apr,28:10:10,140,1-Feb,0,Injection,Winter Rye,35
5,Till,1-Apr,28:10:10,140,1-Feb,0,Injection,Winter Rye,36
0,Till,15-Apr,28:10:10,140,1-Feb,0,Injection,Winter Rye,37
1,Till,15-Apr,28:10:10,140,1-Feb,0,Injection,Winter Rye,38
3,Till,15-Apr,28:10:10,140,1-Feb,0,Injection,Winter Rye,39
5,Till,15-Apr,28:10:10,140,1-Feb,0,Injection,Winter Rye,40
0,Till,1-Apr,Dairy Manure,140,1-Feb,0,Injection,Winter Rye,41
1,Till,1-Apr,Dairy Manure,140,1-Feb,0,Injection,Winter Rye,42
3,Till,1-Apr,Dairy Manure,140,1-Feb,0,Injection,Winter Rye,43
5,Till,1-Apr,Dairy Manure,140,1-Feb,0,Injection,Winter Rye,44
0,Till,15-Apr,Dairy Manure,140,1-Feb,0,Injection,Winter Rye,45
1,Till,15-Apr,Dairy Manure,140,1-Feb,0,Injection,Winter Rye,46
3,Till,15-Apr,Dairy Manure,140,1-Feb,0,Injection,Winter Rye,47
5,Till,15-Apr,Dairy Manure,140,1-Feb,0,Injection,Winter Rye,48
0,Till,1-Apr,26:13:00,280,1-Feb,0,Injection,Winter Rye,49
1,Till,1-Apr,26:13:00,280,1-Feb,0,Injection,Winter Rye,50
3,Till,1-Apr,26:13:00,280,1-Feb,0,Injection,Winter Rye,51
5,Till,1-Apr,26:13:00,280,1-Feb,0,Injection,Winter Rye,52
0,Till,15-Apr,26:13:00,280,1-Feb,0,Injection,Winter Rye,53
1,Till,15-Apr,26:13:00,280,1-Feb,0,Injection,Winter Rye,54
3,Till,15-Apr,26:13:00,280,1-Feb,0,Injection,Winter Rye,55
5,Till,15-Apr,26:13:00,280,1-Feb,0,Injection,Winter Rye,56
0,Till,1-Apr,28:10:10,280,1-Feb,0,Injection,Winter Rye,57
1,Till,1-Apr,28:10:10,280,1-Feb,0,Injection,Winter Rye,58
3,Till,1-Apr,28:10:10,280,1-Feb,0,Injection,Winter Rye,59
5,Till,1-Apr,28:10:10,280,1-Feb,0,Injection,Winter Rye,60
0,Till,15-Apr,28:10:10,280,1-Feb,0,Injection,Winter Rye,61
1,Till,15-Apr,28:10:10,280,1-Feb,0,Injection,Winter Rye,62
3,Till,15-Apr,28:10:10,280,1-Feb,0,Injection,Winter Rye,63
5,Till,15-Apr,28:10:10,280,1-Feb,0,Injection,Winter Rye,64
0,Till,1-Apr,Dairy Manure,280,1-Feb,0,Injection,Winter Rye,65
1,Till,1-Apr,Dairy Manure,280,1-Feb,0,Injection,Winter Rye,66
3,Till,1-Apr,Dairy Manure,280,1-Feb,0,Injection,Winter Rye,67
5,Till,1-Apr,Dairy Manure,280,1-Feb,0,Injection,Winter Rye,68
0,Till,15-Apr,Dairy Manure,280,1-Feb,0,Injection,Winter Rye,69
1,Till,15-Apr,Dairy Manure,280,1-Feb,0,Injection,Winter Rye,70
3,Till,15-Apr,Dairy Manure,280,1-Feb,0,Injection,Winter Rye,71
5,Till,15-Apr,Dairy Manure,280,1-Feb,0,Injection,Winter Rye,72
0,Till,1-Apr,26:13:00,560,1-Feb,0,Injection,Winter Rye,73
1,Till,1-Apr,26:13:00,560,1-Feb,0,Injection,Winter Rye,74
3,Till,1-Apr,26:13:00,560,1-Feb,0,Injection,Winter Rye,75
5,Till,1-Apr,26:13:00,560,1-Feb,0,Injection,Winter Rye,76
0,Till,15-Apr,26:13:00,560,1-Feb,0,Injection,Winter Rye,77
1,Till,15-Apr,26:13:00,560,1-Feb,0,Injection,Winter Rye,78
3,Till,15-Apr,26:13:00,560,1-Feb,0,Injection,Winter Rye,79
5,Till,15-Apr,26:13:00,560,1-Feb,0,Injection,Winter Rye,80
0,Till,1-Apr,28:10:10,560,1-Feb,0,Injection,Winter Rye,81
1,Till,1-Apr,28:10:10,560,1-Feb,0,Injection,Winter Rye,82
3,Till,1-Apr,28:10:10,560,1-Feb,0,Injection,Winter Rye,83
5,Till,1-Apr,28:10:10,560,1-Feb,0,Injection,Winter Rye,84
0,Till,15-Apr,28:10:10,560,1-Feb,0,Injection,Winter Rye,85
1,Till,15-Apr,28:10:10,560,1-Feb,0,Injection,Winter Rye,86
3,Till,15-Apr,28:10:10,560,1-Feb,0,Injection,Winter Rye,87
5,Till,15-Apr,28:10:10,560,1-Feb,0,Injection,Winter Rye,88
0,Till,1-Apr,Dairy Manure,560,1-Feb,0,Injection,Winter Rye,89
1,Till,1-Apr,Dairy Manure,560,1-Feb,0,Injection,Winter Rye,90
3,Till,1-Apr,Dairy Manure,560,1-Feb,0,Injection,Winter Rye,91
5,Till,1-Apr,Dairy Manure,560,1-Feb,0,Injection,Winter Rye,92
0,Till,15-Apr,Dairy Manure,560,1-Feb,0,Injection,Winter Rye,93
1,Till,15-Apr,Dairy Manure,560,1-Feb,0,Injection,Winter Rye,94
3,Till,15-Apr,Dairy Manure,560,1-Feb,0,Injection,Winter Rye,95
5,Till,15-Apr,Dairy Manure,560,1-Feb,0,Injection,Winter Rye,96
0,Till,1-Apr,26:13:00,1120,1-Feb,0,Injection,Winter Rye,97
1,Till,1-Apr,26:13:00,1120,1-Feb,0,Injection,Winter Rye,98
3,Till,1-Apr,26:13:00,1120,1-Feb,0,Injection,Winter Rye,99
5,Till,1-Apr,26:13:00,1120,1-Feb,0,Injection,Winter Rye,100
0,Till,15-Apr,26:13:00,1120,1-Feb,0,Injection,Winter Rye,101
1,Till,15-Apr,26:13:00,1120,1-Feb,0,Injection,Winter Rye,102
3,Till,15-Apr,26:13:00,1120,1-Feb,0,Injection,Winter Rye,103
5,Till,15-Apr,26:13:00,1120,1-Feb,0,Injection,Winter Rye,104
0,Till,1-Apr,28:10:10,1120,1-Feb,0,Injection,Winter Rye,105
1,Till,1-Apr,28:10:10,1120,1-Feb,0,Injection,Winter Rye,106
3,Till,1-Apr,28:10:10,1120,1-Feb,0,Injection,Winter Rye,107
5,Till,1-Apr,28:10:10,1120,1-Feb,0,Injection,Winter Rye,108
0,Till,15-Apr,28:10:10,1120,1-Feb,0,Injection,Winter Rye,109
1,Till,15-Apr,28:10:10,1120,1-Feb,0,Injection,Winter Rye,110
3,Till,15-Apr,28:10:10,1120,1-Feb,0,Injection,Winter Rye,111
5,Till,15-Apr,28:10:10,1120,1-Feb,0,Injection,Winter Rye,112
0,Till,1-Apr,Dairy Manure,1120,1-Feb,0,Injection,Winter Rye,113
1,Till,1-Apr,Dairy Manure,1120,1-Feb,0,Injection,Winter Rye,114
3,Till,1-Apr,Dairy Manure,1120,1-Feb,0,Injection,Winter Rye,115
5,Till,1-Apr,Dairy Manure,1120,1-Feb,0,Injection,Winter Rye,116
0,Till,15-Apr,Dairy Manure,1120,1-Feb,0,Injection,Winter Rye,117
1,Till,15-Apr,Dairy Manure,1120,1-Feb,0,Injection,Winter Rye,118
3,Till,15-Apr,Dairy Manure,1120,1-Feb,0,Injection,Winter Rye,119
5,Till,15-Apr,Dairy Manure,1120,1-Feb,0,Injection,Winter Rye,120
0,Till,1-Apr,26:13:00,0,1-May,0,Injection,Winter Rye,121
1,Till,1-Apr,26:13:00,0,1-May,0,Injection,Winter Rye,122
