filter,tilling,tilling_date,NP_ratio,spring_fertilizer,spring_fertilizer_date,summer_fertilizer,fertilizer_injection,cover_crop,scenario,management_template,TN,TP,TDP,crop_yield
0,TRUE,1,26_13_00,0,2,0,       inject,TRUE,1,management_schedule_4.txt,6.54255657770686,0.857608163866445,0.126925483215406,1.3607828625
100,TRUE,1,26_13_00,0,2,0,       inject,TRUE,2,management_schedule_4.txt,3.47404450069599,0.38998768005632,0.068530263171358,1.3607828625
33.33333,TRUE,1,26_13_00,0,2,0,       inject,TRUE,3,management_schedule_4.txt,3.20947942642814,0.364587722550419,0.0642349776940833,1.3607828625
20,TRUE,1,26_13_00,0,2,0,       inject,TRUE,4,management_schedule_4.txt,3.11504387608155,0.355547635187069,0.0624215713224414,1.3607828625
0,TRUE,15,26_13_00,0,2,0,       inject,TRUE,5,management_schedule_4.txt,6.54202764441672,0.857618212768023,0.12713403669431,1.3609572375
100,TRUE,15,26_13_00,0,2,0,       inject,TRUE,6,management_schedule_4.txt,3.47391381542794,0.390011536865436,0.0686149355382618,1.3609572375
33.33333,TRUE,15,26_13_00,0,2,0,       inject,TRUE,7,management_schedule_4.txt,3.20931687033461,0.364566941981168,0.0642904481279352,1.3609572375
20,TRUE,15,26_13_00,0,2,0,       inject,TRUE,8,management_schedule_4.txt,3.11472365185355,0.355578781511581,0.0624823535377999,1.3609572375
0,TRUE,1,28_10_10,0,2,0,       inject,TRUE,9,management_schedule_4.txt,6.54255657770686,0.857608163866445,0.126925483215406,1.3607828625
100,TRUE,1,28_10_10,0,2,0,       inject,TRUE,10,management_schedule_4.txt,3.47404450069599,0.38998768005632,0.068530263171358,1.3607828625
33.33333,TRUE,1,28_10_10,0,2,0,       inject,TRUE,11,management_schedule_4.txt,3.20947942642814,0.364587722550419,0.0642349776940833,1.3607828625
20,TRUE,1,28_10_10,0,2,0,       inject,TRUE,12,management_schedule_4.txt,3.11504387608155,0.355547635187069,0.0624215713224414,1.3607828625
0,TRUE,15,28_10_10,0,2,0,       inject,TRUE,13,management_schedule_4.txt,6.54202764441672,0.857618212768023,0.12713403669431,1.3609572375
100,TRUE,15,28_10_10,0,2,0,       inject,TRUE,14,management_schedule_4.txt,3.47391381542794,0.390011536865436,0.0686149355382618,1.3609572375
33.33333,TRUE,15,28_10_10,0,2,0,       inject,TRUE,15,management_schedule_4.txt,3.20931687033461,0.364566941981168,0.0642904481279352,1.3609572375
