name,area
hru001,8.73483
hru002,4.0805
hru004,4.05257
hru006,3.09094
hru007,8.46718
hru009,5.97297
hru010,13.05914
hru013,2.55811
hru015,9.08608
hru018,3.36613
hru020,4.42788
hru021,8.9841
hru023,3.73451
hru024,0.62242
hru025,0.62242
hru026,3.45823
hru028,2.98665
hru030,1.85253
hru031,1.55373
hru033,10.17473
hru035,0.05916
hru038,3.31366
hru040,1.29665
hru041,0.14407
hru043,4.30941
hru044,0.71824
hru045,0.91412
hru051,2.92204
hru052,4.67526
hru057,7.21806
hru061,3.19779
hru064,5.00614
hru068,19.99554
hru071,7.53434
hru072,19.86325
hru077,0.94412
hru079,0.17747
hru082,1.04508
hru090,6.57008
hru092,1.27163
hru096,4.65971
hru104,4.93987
hru105,2.60905
hru106,4.50061
hru110,2.62749
hru112,6.86914
hru117,3.81177
hru118,2.18708
hru120,0.41097
hru123,0.34248
hru124,0.68118
hru132,2.25585
hru143,2.48947
hru144,5.63407
hru147,10.55822
hru150,12.97802
hru151,5.59677
hru158,5.10918
hru169,5.58694
hru171,3.76648
hru175,3.62607
hru177,0.44644
hru181,0.18456
hru183,0.35493
hru184,0.5324
hru186,0.17747
hru188,2.68626
hru189,8.28904
hru191,0.35493
hru194,0.47324
hru195,1.24226
hru196,2.27427
hru198,3.53775
hru199,5.06987
hru200,3.29213
hru210,8.63849
hru213,4.88431
hru217,4.97165
hru219,9.71636
hru221,8.19659
hru223,0.29578
hru229,8.42109
hru238,7.72455
hru240,1.20906
hru241,20.22729
hru249,4.9665
hru252,1.16774
hru256,2.26821
hru261,1.7359
hru266,16.36529
hru272,0.89092
hru273,2.22729
hru276,8.22102
hru280,2.7803
hru282,1.77466
hru284,20.61819
hru289,24.65444
hru293,4.0888
hru295,4.49332
hru298,0.91169
hru299,14.39291
hru300,5.72248
hru301,3.90169
hru302,12.8596
hru306,5.32971
hru307,1.61294
hru312,4.48818
hru313,0.63115
hru316,0.11831
hru318,2.79598
hru320,14.17379
hru321,10.76358
hru327,15.86072
hru334,2.04155
hru337,6.73014
hru339,3.09586
hru340,5.51054
hru341,4.05373
hru342,5.7639
hru343,2.53358
hru356,1.50689
hru361,2.83165
hru363,6.58522
hru365,3.21527
hru370,2.48204
hru373,2.37697
hru377,1.51175
hru383,2.53699
hru384,5.56729
hru396,19.80029
hru400,16.19105
hru405,10.84705
hru409,6.98456
hru413,2.13068
hru421,3.46938
hru442,19.54786
hru443,6.09477
hru471,1.50866
hru474,2.94952
hru507,2.64043
hru509,3.19031
hru511,1.31774
hru513,1.68685
hru514,2.0917
hru515,5.34595
hru517,2.5038
hru518,4.34307
hru523,12.24517
hru525,3.05934
hru527,2.07819
hru529,2.01128
hru531,1.4942
hru533,5.51278
hru536,0.68496
hru539,3.9332
hru540,1.9666
hru542,1.76422
hru543,5.76765
hru545,6.29198
hru547,9.88544
hru549,1.12395
hru550,8.347
hru552,3.96098
hru553,2.19118
hru554,20.59931
hru557,6.87859
hru559,4.6802
hru561,7.98598
hru563,4.43665
hru565,7.92682
hru569,7.61668
hru570,5.10174
hru571,0.47324
hru572,8.81415
hru573,3.49017
hru583,4.465
hru591,0.19965
hru593,3.56603
hru595,2.54716
hru596,0.35493
hru599,14.16556
hru600,15.58212
hru601,6.64875
hru602,7.6077
hru604,5.61319
hru605,6.06089
hru607,6.87809
hru611,5.12572
hru639,5.89819
hru642,3.89909
hru645,26.36458
hru647,10.11557
hru649,1.73967
hru650,12.95503
hru655,7.51274
hru656,3.36449
hru658,3.2243
hru660,1.38191
hru663,5.07962
hru666,2.5728
hru668,1.30346
hru669,5.86829
hru670,3.03532
hru672,13.17854
hru674,3.13524
hru680,4.34119
hru681,4.6105
hru685,3.87208
hru688,9.33549
hru691,8.33352
hru694,0.05916
hru695,20.54816
hru697,7.50454
hru698,11.01946
hru701,10.72331
hru704,3.36809
hru706,0.86761
hru710,11.72079
hru712,3.87559
